FIRST,LAST,SUFFIX,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
T.J.,McConnell,,PG,IND,75,20.3,0.543,0.853,0.3,3.1,5.3,1.1,0.1,1.9,8.7
Landry,Shamet,,SG,WAS,40,20.2,0.377,0.882,1.9,1.7,2.3,0.7,0.1,0.9,8.7
Steven,Adams,,C,MEM,42,27,0.597,0.364,0,11.5,2.3,0.9,1.1,1.9,8.6
Ayo,Dosunmu,,SG,CHI,80,26.2,0.493,0.805,0.7,2.8,2.6,0.8,0.3,1.2,8.6
Draymond,Green,,PF,GSW,73,31.5,0.527,0.713,0.5,7.2,6.8,1,0.8,2.8,8.5
Shake,Milton,,SG,MIN,76,20.6,0.479,0.853,0.7,2.5,3.2,0.3,0.2,1.2,8.4
Dorian,Finney-Smith,,PF,BKN,66,30.4,0.391,0.763,1.7,4.8,1.5,0.8,0.5,0.9,8.3
Terrence,Ross,,G,PHO,63,21.1,0.43,0.794,1.5,2.4,1.5,0.6,0.2,0.7,8.3
Gary,Harris,,SG,ORL,48,24.7,0.45,0.9,2,2,1.2,0.9,0.3,0.6,8.3
Kevin,Love,,PF,MIA,62,20,0.389,0.879,1.6,6.4,1.9,0.3,0.2,1.1,8.2
Nick,Richards,,C,CHA,65,18.7,0.629,0.749,0,6.4,0.6,0.2,1.1,0.9,8.2
Georges,Niang,,SF,CLE,78,19.4,0.442,0.867,2,2.4,1,0.4,0.2,0.7,8.2
Damion,Lee,,SG,PHO,74,20.4,0.442,0.904,1.5,3,1.3,0.4,0.1,1.1,8.2
Aleksej,Pokusevski,,F,OKC,34,20.6,0.434,0.629,1.1,4.7,1.9,0.6,1.3,1.3,8.1
Grant,Williams,,PF,DAL,79,25.9,0.454,0.77,1.5,4.6,1.7,0.5,0.4,1,8.1
Jevon,Carter,,PG,CHI,81,22.4,0.423,0.816,1.8,2.5,2.4,0.8,0.4,1,8
Kenrich,Williams,,SF,OKC,53,22.8,0.517,0.436,0.9,4.9,2,0.8,0.3,0.6,8
Kemba,Walker,,PG,DAL,9,16,0.421,0.81,0.8,1.8,2.1,0.2,0.2,0.4,8
Gabe,York,,G,IND,3,18.7,0.381,1,2,2,1.7,0.7,0,0,8
Robert,Williams,III,C,POR,35,23.5,0.747,0.61,0,8.3,1.4,0.6,1.4,1,8
Jarred,Vanderbilt,,PF,LAL,78,24.1,0.548,0.691,0.4,7.5,2.4,1.1,0.3,1.2,7.9
Ochai,Agbaji,,G,UTH,59,20.5,0.427,0.812,1.4,2.1,1.1,0.3,0.3,0.7,7.9
Duane,Washington,Jr,PG,NYK,31,12.7,0.367,0.667,1.3,1.2,2,0.2,0.1,1.1,7.9
