FIRST,LAST,SUFFIX,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
Xavier,Sneed,,F,CHA,4,12,0.5,1,0.8,1.3,1.3,0,0.3,0.8,4.3
Justin,Minaya,,F,POR,4,22.3,0.304,0,0.8,3.8,1,0.5,1.3,1,4.3
McKinley,Wright,IV,PG,DAL,27,12.4,0.469,0.684,0.3,1.7,2.1,0.3,0.2,0.7,4.2
Admiral,Schofield,,SF,ORL,37,12.2,0.451,0.913,0.6,1.7,0.8,0.2,0.1,0.4,4.2
Ish,Wainright,,F,PHO,60,15.3,0.37,0.839,1,2.3,0.9,0.6,0.4,0.4,4.2
Paul,Reed,,SF,PHI,69,10.9,0.593,0.745,0,3.8,0.4,0.7,0.7,0.7,4.2
Kevon,Harris,,G,ORL,34,13.4,0.439,0.756,0.5,2.1,0.5,0.5,0.1,0.6,4.1
Blake,Griffin,,PF,BOS,41,13.9,0.485,0.656,0.6,3.8,1.5,0.3,0.2,0.5,4.1
Matisse,Thybulle,,SG,POR,71,16.9,0.435,0.679,0.8,2,0.7,1.2,0.5,0.3,4.1
Serge,Ibaka,,F,IND,16,11.6,0.481,0.615,0.4,2.8,0.3,0.1,0.4,0.7,4.1
Isaiah,Roby,,F,NYK,42,11.3,0.432,0.488,0.4,2.6,0.9,0.4,0.2,0.7,4.1
Olivier,Sarr,,C,OKC,9,12.7,0.5,0.714,0.1,3.4,0.4,0.1,0.6,0.4,4
Daishen,Nix,,SG,MIN,57,16,0.342,0.667,0.7,1.7,2.3,0.5,0.1,1.5,4
Patrick,Baldwin,Jr,F,WAS,31,7.3,0.395,0.667,1,1.3,0.4,0.2,0.1,0.4,3.9
Dominick,Barlow,,F,SAS,28,14.6,0.535,0.72,0,3.6,0.9,0.4,0.7,0.5,3.9
Bruno,Fernando,,PF,ATL,39,10.4,0.527,0.7,0,3.5,0.8,0.2,0.9,0.6,3.9
Aaron,Holiday,,G,HOU,63,13.4,0.418,0.844,0.6,1.2,1.4,0.6,0.2,0.6,3.9
Gorgui,Dieng,,C,SAS,31,11.5,0.385,0.769,0.7,3.5,1.7,0.1,0.5,1,3.9
Udonis,Haslem,,PF,MIA,7,10.3,0.345,0.8,0.4,1.6,0,0.1,0.3,0.1,3.9
Jabari,Walker,,F,POR,56,11.1,0.419,0.756,0.3,2.3,0.6,0.2,0.2,0.5,3.9
Dyson,Daniels,,G,NOR,59,17.7,0.418,0.65,0.5,3.2,2.3,0.7,0.2,1,3.8
Xavier,Cooks,,G,WAS,10,12.6,0.607,0.4,0,3.8,0.6,0.6,0.4,0.8,3.8
JT,Thor,,F,CHA,69,14,0.399,0.702,0.6,2.2,0.5,0.3,0.3,0.6,3.8
Caleb,Houstan,,G,ORL,51,15.9,0.363,0.833,0.9,1.9,0.6,0.2,0.1,0.4,3.8
Furkan,Korkmaz,,SG,PHI,37,9.5,0.432,0.722,0.5,1.1,0.6,0.3,0.1,0.6,3.8
Luke,Kornet,,C,BOS,69,11.7,0.665,0.821,0,2.9,0.8,0.2,0.7,0.4,3.8
Markieff,Morris,,PF,DAL,35,10.1,0.409,1,0.8,2,0.9,0.3,0.1,0.5,3.8
Darius,Days,,F,HOU,4,6.3,0.417,1,0.8,1.5,0.3,0,0.3,0,3.8
Jordan,McLaughlin,,PG,MIN,43,15.8,0.421,0.833,0.6,1.4,3.4,0.7,0.1,0.8,3.7
Orlando,Robinson,,C,MIA,31,13.7,0.528,0.71,0,4.1,0.8,0.4,0.4,0.5,3.7
A.J.,Lawson,,G,DAL,15,7.2,0.5,0.25,0.7,1.4,0.1,0.1,0,0.2,3.7
David,Duke,Jr,G,PHI,23,9.9,0.462,0.706,0,1.3,0.9,0.4,0,0.8,3.7
Nathan,Knight,,F,NYK,38,7.7,0.568,0.684,0.2,1.5,0.3,0.3,0.2,0.6,3.7
Matt,Ryan,,F,MIN,34,9.1,0.37,0.833,0.9,0.8,0.5,0.1,0,0.2,3.6
Bryn,Forbes,,SG,MIN,25,10.7,0.361,1,0.6,0.6,0.7,0.3,0.1,0.5,3.6
P.J.,Tucker,,PF,PHI,75,25.6,0.427,0.826,0.7,3.9,0.8,0.5,0.2,0.6,3.5
Udoka,Azubuike,,C,PHO,36,10,0.819,0.35,0,3.3,0.3,0.2,0.4,0.5,3.5
Miles,McBride,,PG,NYK,64,11.9,0.358,0.667,0.6,0.8,1.1,0.6,0.1,0.4,3.5
Damian,Jones,,C,CLE,41,11.6,0.64,0.759,0.2,3,0.4,0.2,0.5,0.6,3.5
Wesley,Matthews,,SG,ATL,52,15.8,0.363,0.857,0.8,2.2,0.7,0.4,0.3,0.3,3.4
Amir,Coffey,,SG,LAC,50,12.5,0.386,0.778,0.2,1.1,1.1,0.1,0.1,0.4,3.4
Taj,Gibson,,F,WAS,49,9.8,0.52,0.714,0.2,1.9,0.7,0.3,0.2,0.5,3.4
Micah,Potter,,C,UTH,7,7.4,0.667,0,0.6,2.3,0.6,0.1,0,0.3,3.4
Jericho,Sims,,C,NYK,52,15.6,0.776,0.75,0,4.7,0.5,0.3,0.5,0.5,3.4
Kai,Jones,,PF,CHA,46,12,0.558,0.731,0.1,2.7,0.3,0.4,0.7,0.7,3.4
Anthony,Gill,,PF,WAS,59,10.6,0.538,0.731,0.1,1.7,0.6,0.1,0.2,0.3,3.3
Boban,Marjanovic,,C,HOU,31,5.5,0.683,0.741,0,1.9,0.3,0.2,0.1,0.5,3.3
Raul,Neto,,PG,CLE,48,10.5,0.518,0.912,0.3,1,1.6,0.4,0.1,0.5,3.3
Peyton,Watson,,F,DEN,23,8.1,0.492,0.55,0.3,1.6,0.5,0.1,0.5,0.3,3.3
Jared,Rhoden,,G,DET,14,14.1,0.386,1,0.4,2.6,0.3,0.3,0.1,0.2,3.2
Christian,Koloko,,C,TOR,58,13.8,0.48,0.627,0,2.9,0.5,0.4,1,0.3,3.1
Max,Christie,,G,LAL,41,12.5,0.415,0.875,0.6,1.8,0.5,0.2,0.2,0.3,3.1
Jordan,Hall,,G,SAS,9,9.2,0.321,0.778,0.3,1.3,1.2,0.1,0,0.8,3.1
Richaun,Holmes,,F,DAL,42,8.3,0.618,0.789,0.1,1.9,0.2,0.1,0.3,0.3,3.1
Josh,Minott,,F,MIN,15,6.4,0.5,1,0.1,1.7,0.3,0.3,0.4,0.2,3.1
Robin,Lopez,,C,MIL,37,8.1,0.64,0.778,0.1,1.4,0.5,0.1,0.2,0.7,3
Tyler,Dorsey,,G,DAL,3,2.7,0.8,0,0.3,0.7,0,0,0,0,3
Jacob,Gilyard,,G,MEM,1,41,0.333,0,1,4,7,3,0,2,3
Jamaree,Bouyea,,G,WAS,5,14.2,0.429,0.5,0.4,1.2,0.8,0.8,0.4,0.8,3
Trevelin,Queen,,SG,ORL,7,10,0.241,1,0.3,2.4,0.9,0.3,0.7,1,3
Jake,LaRavia,,F,MEM,35,11.8,0.389,0.778,0.7,1.8,0.6,0.3,0.1,0.5,3
Usman,Garuba,,PF,GSW,75,12.9,0.486,0.617,0.3,4.1,0.9,0.6,0.4,0.6,3
Juan,Toscano-Anderson,,SF,UTH,52,13.5,0.448,0.792,0.2,2.4,1.3,0.3,0.2,0.7,3
Dru,Smith,,G,MIA,15,10.5,0.4,1,0.3,1.6,1.5,0.7,0.3,0.2,2.9
Jason,Preston,,PG,LAC,14,8.9,0.439,0,0.4,1.6,1.9,0.1,0,0.7,2.9
Juancho,Hernangomez,,PF,TOR,42,14.6,0.421,0.563,0.4,2.9,0.6,0.4,0.1,0.4,2.9
Frank,Ntilikina,,PG,CHA,47,12.9,0.364,0.667,0.4,1.3,1.2,0.3,0.1,0.6,2.9
Terry,Taylor,,F,CHI,31,8.5,0.52,0.545,0.2,1.5,0.3,0.1,0.2,0.3,2.9
Carlik,Jones,,G,CHI,7,8,0.4,0.625,0.4,0.7,0.9,0.3,0,0.3,2.9
James,Johnson,,PF,IND,18,9,0.449,0.5,0.2,1.7,0.8,0.4,0.3,0.4,2.8
Kessler,Edwards,,SF,SAC,36,10.7,0.387,0.733,0.5,1.7,0.6,0.4,0.2,0.4,2.8
Moussa,Diabate,,F,LAC,22,8.9,0.511,0.625,0,2.3,0.2,0.3,0.4,0.4,2.7
Jaden,Springer,,G,PHI,16,5.6,0.486,0.75,0.1,0.9,0.5,0.4,0.2,0.2,2.6
Mamadi,Diakite,,F,CLE,22,8,0.48,1,0.3,1.4,0.4,0.2,0.4,0.5,2.6
Isaiah,Mobley,,F,CLE,12,7,0.429,1,0.3,1.7,0.3,0.3,0.3,0.1,2.6
Ish,Smith,,PG,DEN,43,9.3,0.397,0.5,0,1.3,2.3,0.2,0.2,1,2.5
Lester,Quinones,,G,GSW,4,4.5,0.4,0.667,0.5,0.8,0.5,0.3,0,1.3,2.5
Frank,Kaminsky,,PF,HOU,36,6.5,0.492,0.875,0.4,1.4,0.9,0.2,0.1,0.3,2.5
Jeff,Dowtin,Jr,PG,TOR,25,10.4,0.439,0.667,0.2,0.9,1.2,0.4,0.1,0.2,2.4
Neemias,Queta,,C,BOS,5,5.8,0.667,0,0,2.2,0.2,0,0.4,0.2,2.4
Theo,Pinson,,G,DAL,40,8.1,0.356,0.846,0.6,1.6,1.2,0.2,0,0.3,2.4
John,Butler,Jr,F,POR,19,11.6,0.321,0.75,0.4,0.9,0.6,0.4,0.5,0.1,2.4
Scotty,Pippen,Jr,G,LAL,6,5.3,0.333,0.556,0.2,0.7,0.3,0.3,0.2,0.3,2.3
Trent,Forrest,,G,ATL,23,12,0.417,0.667,0,1.6,1.7,0.3,0.1,0.7,2.3
Dalen,Terry,,F,CHI,38,5.6,0.444,0.667,0.2,1,0.6,0.3,0.1,0.2,2.2
Ron,Harper,Jr,F,TOR,9,5.3,0.5,1,0.3,0.8,0.4,0,0.1,0,2.2
Justin,Champagnie,,SF,MIA,5,6.8,0.333,0,0.2,1.6,0.8,0.2,0,0,2.2
Kennedy,Chandler,,G,MEM,36,7.8,0.422,0.462,0.1,1.1,1.6,0.3,0.1,0.5,2.2
Khem,Birch,,C,SAS,20,8.1,0.594,0.8,0.1,1.3,0.4,0.3,0.3,0.4,2.2
Andre,Iguodala,,F,GSW,8,14.1,0.467,0.667,0.1,2.1,2.4,0.5,0.4,1.1,2.1
Davon,Reed,,SG,LAL,43,8,0.333,0.667,0.4,1.4,0.5,0.3,0.1,0.5,2.1
Nerlens,Noel,,C,SAC,17,11.5,0.361,0.667,0.1,2.7,0.6,0.9,0.6,0.8,2.1
Garrett,Temple,,SF,NOR,25,6.5,0.4,0.75,0.4,0.7,0.5,0.4,0.1,0.2,2
Chris,Silva,,F,ATL,1,3,1,0,0,0,0,0,0,1,2
Stanley,Umude,,G,DET,1,2,0,1,0,0,0,1,1,0,2
Vince,Williams,Jr,G,MEM,15,7,0.3,1,0.3,1,0.3,0.4,0.1,0.3,2
Donovan,Williams,,G,GSW,2,2,0.4,0,0,1,0,0,0,0,2
Ryan,Rollins,,G,WAS,12,5.2,0.35,1,0.3,1,0.5,0.1,0.1,1.3,1.9
Trevor,Hudgins,,G,HOU,5,5.6,0.222,1,0.4,0,0.6,0,0,0.2,1.8
Xavier,Moon,,PG,LAC,4,5,0.333,0,0.3,0.8,1.3,0,0,0.3,1.8
Alize,Johnson,,F,SAS,4,7.5,0.5,0.5,0,2.5,0.3,0.3,0,1,1.8
Greg,Brown,III,PF,DAL,16,5.8,0.393,0.417,0.1,1.2,0.2,0.3,0.3,0.4,1.8
Dylan,Windler,,SG,NYK,3,3.3,0.667,0,0.3,0,0.3,0.3,0,0.3,1.7
Alex,Len,,C,SAC,26,6.2,0.533,0.688,0,2.3,0.5,0.2,0.4,0.6,1.7
Buddy,Boeheim,,F,DET,10,9,0.185,1,0.4,0.6,0.4,0.2,0,0,1.6
Tony,Bradley,,C,CHI,12,2.8,0.5,1,0.3,0.9,0.1,0.1,0.1,0.1,1.6
JD,Davison,,SG,BOS,12,5.5,0.421,0.5,0.2,0.8,0.9,0.2,0.2,0.3,1.6
Mfiondu,Kabengele,,C,BOS,4,9,0.286,1,0,2.5,0,0.5,0,0.3,1.5
Jordan,Schakel,,G,BOS,2,3,0.5,0,0.5,0,0.5,0.5,0,0,1.5
Kendall,Brown,,SG,IND,6,6.7,0.571,0.5,0,1,0.5,0.7,0,0.3,1.5
Keon,Ellis,,G,SAC,16,4.4,0.438,0.571,0.4,0.5,0.4,0.3,0.1,0.1,1.5
Isaiah,Todd,,PF,MEM,6,10.2,0.167,1,0.2,2,0.7,0.2,0,0.3,1.5
Matthew,Dellavedova,,PG,SAC,32,6.7,0.34,0.571,0.3,0.4,1.3,0.2,0,0.3,1.5
Wendell,Moore,Jr,G,MIN,29,5.3,0.419,0.8,0.1,0.6,0.6,0.3,0.2,0.3,1.4
Thanasis,Antetokounmpo,,SF,MIL,37,5.6,0.435,0.5,0,1.2,0.4,0.1,0.1,0.3,1.4
PJ,Dozier,,G,SAC,16,4.9,0.303,0,0.1,0.9,0.6,0.4,0.1,0.3,1.4
Braxton,Key,,F,DEN,3,3,1,1,0,0.3,0,0,0,0,1.3
KZ,Okpala,,SF,SAC,35,7.1,0.421,0.875,0.2,1,0.4,0.2,0.2,0.2,1.3
Tyrese,Martin,,G,MIN,16,4.1,0.391,1,0.1,0.8,0.1,0.1,0,0.1,1.3
Ryan,Arcidiacono,,G,NYK,20,8.6,0.243,0,0.4,0.8,1.2,0.3,0,0.4,1.3
Cole,Swider,,F,MIA,7,5.9,0.333,0,0.4,1,0.6,0,0,0,1.3
Facundo,Campazzo,,G,DAL,8,6.5,0.231,0.5,0.4,0.3,1.1,0.8,0,0.4,1.3
Vit,Krejci,,F,MIN,29,5.7,0.405,0.5,0.2,0.9,0.6,0.2,0,0.2,1.2
Jack,White,,F,OKC,17,3.9,0.421,0.667,0.2,1,0.2,0.2,0.1,0.1,1.2
Noah,Vonleh,,PF,BOS,23,7.5,0.458,1,0,2.1,0.3,0.1,0.3,0.5,1.1
Malcolm,Hill,,G,NOR,5,1.8,0.5,0,0.2,0.6,0,0,0,0,1
Chima,Moneke,,F,SAC,2,4,0.5,0,0,1,0.5,0,0,1,1
Kobi,Simmons,,G,CHA,5,5.6,0.167,1,0.2,0.8,1,0,0.4,0.2,1
Joe,Wieskamp,,SF,DAL,9,5.6,0.214,0,0.3,0.4,0.3,0,0,0.1,1
Trevor,Keels,,G,MIN,3,2.7,0.25,0,0.3,0.7,0,0,0,0,1
Justin,Jackson,,SF,OKC,23,4.7,0.259,0.5,0.2,0.7,0.4,0.2,0.2,0.1,0.9
Marko,Simonovic,,C,CHI,7,2.9,0.286,0.5,0.1,0.3,0,0,0,0,0.9
Dereon,Seabron,,G,NOR,5,2.4,0.4,0,0,0.2,0,0,0,0,0.8
Vernon,Carey,Jr,C,WAS,11,2.5,0.25,1,0,1,0.3,0.2,0.2,0.2,0.5
Devon,Dotson,,G,WAS,6,8.8,0.1,0,0.2,1.7,1.3,0.8,0,0.5,0.5
Leandro,Bolmaro,,F,UTH,14,4.9,0.15,0,0,0.5,0.5,0.2,0.1,0.5,0.4
Sterling,Brown,,SF,LAL,4,6,0,0,0,2,0.5,0.8,0,0,0
Deonte,Burton,,F,SAC,2,3,0,0,0,0,0,0,0,0,0
Frank,Jackson,,G,UTH,1,5,0,0,0,2,1,0,0,0,0
Alondes,Williams,,G,MIA,1,5,0,0,0,1,0,0,0,2,0
Michael,Foster,Jr,F,PHI,1,1,0,0,0,0,0,0,0,0,0
